id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
68426545,73316365,1,16000,16000, 60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68426545,,debt_consolidation,Debt consolidation,786xx,TX,26.4,0,Feb-88,0,,,13,0,28705,56.3,29,w,16000,16000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,265836,0,2,0,2,13,33702,73.5,1,1,8739,64.4,51000,0,0,1
68566886,73456723,29900,29900,29900, 60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000,Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68566886,,debt_consolidation,Debt consolidation,219xx,MD,21.77,0,4-May,0,,,15,0,31682,46.7,31,w,29900,29900,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,220251,2,1,1,2,9,10815,69.4,3,5,12971,51,67800,0,4,1
68416916,73306740,28000,28000,28000, 60 months,18.49,718.51,D,D5,Engineer,10+ years,MORTGAGE,75000,Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416916,,debt_consolidation,Debt consolidation,471xx,IN,31.88,0,2-Oct,0,,,27,0,43413,51.9,46,w,28000,28000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,193745,1,2,0,2,22,13889,43.7,2,6,7213,49.7,83600,1,0,0
68593616,73483345,28000,28000,28000, 60 months,8.49,574.33,B,B1,Client Service Manager,1 year,MORTGAGE,75000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68593616,,debt_consolidation,Debt consolidation,301xx,GA,24.83,0,4-Jan,0,29,,16,0,18002,72,23,w,28000,28000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,428,365724,0,4,1,1,10,63294,74,1,1,7762,73.6,25000,6,1,6
68595206,73484978,20000,20000,20000, 36 months,17.97,722.75,D,D4,Nurse Manager,7 years,MORTGAGE,180000,Not Verified,15-Dec,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68595206,,debt_consolidation,Debt consolidation,778xx,TX,25.1,0,Apr-89,0,,,13,0,59126,92.1,30,w,20000,20000,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,418,277227,2,3,1,1,12,72335,88.2,2,3,25225,90.7,64200,0,0,0
68376848,73266670,18000,18000,18000, 36 months,7.91,563.31,A,A5,Mechanic,10+ years,MORTGAGE,80000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68376848,,debt_consolidation,Debt consolidation,172xx,PA,15.56,0,2-Nov,0,,,5,0,20724,82.6,6,w,18000,18000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,70,84064,0,0,0,1,18,12162,67.6,0,2,12840,76.3,25100,1,0,0
68356747,73246574,20400,20400,20400, 60 months,18.49,523.48,D,D5,Pilot,2 years,MORTGAGE,75000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68356747,,credit_card,Credit card refinancing,725xx,AR,38.65,2,Sep-83,0,13,,22,0,24345,42.6,49,w,20400,20400,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,210761,2,3,1,1,7,42009,64.6,2,5,11037,52.6,57200,0,8,1
67327688,72129450,21000,21000,21000, 60 months,11.99,467.03,C,C1,research scientist,10+ years,MORTGAGE,82000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67327688,,debt_consolidation,Debt consolidation,146xx,NY,15.07,0,Sep-89,0,,,18,0,27092,35,34,w,21000,21000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,129615,3,1,1,2,7,18450,92.2,5,11,7622,46.8,77300,0,3,1
67798609,72657334,10000,10000,10000, 36 months,11.99,332.1,C,C1,Driver,7 years,RENT,40000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67798609,,debt_consolidation,Debt consolidation,080xx,NJ,10.95,0,8-Feb,3,30,,4,0,1252,27.2,7,w,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,3774,7735,1,1,0,0,36,6483,51.1,1,1,841,44.7,4600,0,0,4
68339774,72929783,9500,9500,9500, 36 months,15.77,332.92,D,D1,maintenance ,10+ years,RENT,28000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68339774,,other,,480xx,MI,27.95,0,6-Apr,0,,,7,0,1844,55.9,14,w,9500,9500,0,0,0,0,0,0,0,,0,16-Jan,15-Dec,0,,1,INDIVIDUAL,,,,0,0,14767,2,3,1,3,6,12923,62.1,2,3,791,61.3,3300,0,4,4
