id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
68426545,73316365,1,16000,16000.0, 60 months,12.88,363.07,C,C2,Senior Structural Designer,1 year,MORTGAGE,70000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68426545,,debt_consolidation,Debt consolidation,786xx,TX,26.4,0,1988-02-01,0,,,13,0,28705,56.3,29,w,16000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,0.0,265836.0,0.0,2.0,0.0,2.0,13.0,33702.0,73.5,1.0,1.0,8739.0,64.4,51000.0,0.0,0.0,1.0
68566886,73456723,29900,29900,29900.0, 60 months,12.88,678.49,C,C2,Corporate Insurance,10+ years,MORTGAGE,65000.0,Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68566886,,debt_consolidation,Debt consolidation,219xx,MD,21.77,0,2004-05-01,0,,,15,0,31682,46.7,31,w,29900.0,29900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-02-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,0.0,220251.0,2.0,1.0,1.0,2.0,9.0,10815.0,69.4,3.0,5.0,12971.0,51.0,67800.0,0.0,4.0,1.0
68416916,73306740,28000,28000,28000.0, 60 months,18.49,718.51,D,D5,Engineer,10+ years,MORTGAGE,75000.0,Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416916,,debt_consolidation,Debt consolidation,471xx,IN,31.88,0,2002-10-01,0,,,27,0,43413,51.9,46,w,28000.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,0.0,193745.0,1.0,2.0,0.0,2.0,22.0,13889.0,43.7,2.0,6.0,7213.0,49.7,83600.0,1.0,0.0,0.0
68593616,73483345,28000,28000,28000.0, 60 months,8.49,574.33,B,B1,Client Service Manager,1 year,MORTGAGE,75000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68593616,,debt_consolidation,Debt consolidation,301xx,GA,24.83,0,2004-01-01,0,29.0,,16,0,18002,72.0,23,w,28000.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,428.0,365724.0,0.0,4.0,1.0,1.0,10.0,63294.0,74.0,1.0,1.0,7762.0,73.6,25000.0,6.0,1.0,6.0
68595206,73484978,20000,20000,20000.0, 36 months,17.97,722.75,D,D4,Nurse Manager,7 years,MORTGAGE,180000.0,Not Verified,2015-12-01,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68595206,,debt_consolidation,Debt consolidation,778xx,TX,25.1,0,1989-04-01,0,,,13,0,59126,92.1,30,w,20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-02-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,418.0,277227.0,2.0,3.0,1.0,1.0,12.0,72335.0,88.2,2.0,3.0,25225.0,90.7,64200.0,0.0,0.0,0.0
68376848,73266670,18000,18000,18000.0, 36 months,7.91,563.31,A,A5,Mechanic,10+ years,MORTGAGE,80000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68376848,,debt_consolidation,Debt consolidation,172xx,PA,15.56,0,2002-11-01,0,,,5,0,20724,82.6,6,w,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,70.0,84064.0,0.0,0.0,0.0,1.0,18.0,12162.0,67.6,0.0,2.0,12840.0,76.3,25100.0,1.0,0.0,0.0
68356747,73246574,20400,20400,20400.0, 60 months,18.49,523.48,D,D5,Pilot,2 years,MORTGAGE,75000.0,Source Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68356747,,credit_card,Credit card refinancing,725xx,AR,38.65,2,1983-09-01,0,13.0,,22,0,24345,42.6,49,w,20400.0,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,0.0,210761.0,2.0,3.0,1.0,1.0,7.0,42009.0,64.6,2.0,5.0,11037.0,52.6,57200.0,0.0,8.0,1.0
67327688,72129450,21000,21000,21000.0, 60 months,11.99,467.03,C,C1,research scientist,10+ years,MORTGAGE,82000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67327688,,debt_consolidation,Debt consolidation,146xx,NY,15.07,0,1989-09-01,0,,,18,0,27092,35.0,34,w,21000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,0.0,129615.0,3.0,1.0,1.0,2.0,7.0,18450.0,92.2,5.0,11.0,7622.0,46.8,77300.0,0.0,3.0,1.0
67798609,72657334,10000,10000,10000.0, 36 months,11.99,332.1,C,C1,Driver,7 years,RENT,40000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67798609,,debt_consolidation,Debt consolidation,080xx,NJ,10.95,0,2008-02-01,3,30.0,,4,0,1252,27.2,7,w,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2016-01-01,0,,1,INDIVIDUAL,,,,0,3774.0,7735.0,1.0,1.0,0.0,0.0,36.0,6483.0,51.1,1.0,1.0,841.0,44.7,4600.0,0.0,0.0,4.0
68339774,72929783,9500,9500,9500.0, 36 months,15.77,332.92,D,D1,maintenance ,10+ years,RENT,28000.0,Not Verified,2015-12-01,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68339774,,other,,480xx,MI,27.95,0,2006-04-01,0,,,7,0,1844,55.9,14,w,9500.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2016-01-01,2015-12-01,0,,1,INDIVIDUAL,,,,0,0.0,14767.0,2.0,3.0,1.0,3.0,6.0,12923.0,62.1,2.0,3.0,791.0,61.3,3300.0,0.0,4.0,4.0
